Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
SEX,ÔRGANICA,12,FEIRA LIVRE ORGANICOS DA MOOCA,"RUA DOS TRILHOS","MOOCA"
SEX,NOTURNA,11,PRACA AGENTE CICERO,"PCA AGENTE CICERO","BRAS"
SEX,TRADICIONAL,2,SAO JOSE DO BELEM,"LG SAO JOSE DO BELEM","BELENZINHO"
SAB,TRADICIONAL,132,PARI,"RUA MENDES GONCALVES","PARI"
SAB,TRADICIONAL,55,MOOCA,"RUA TABAJARAS","MOOCA"
SÁB,TRADICIONAL,53,VILA LESTE,"RUA VALENTIM MAGALHAES","VL LESTE"
SÁB,TRADICIONAL,94,ITAMARACA,"RUA SERRA DE JAIRE","ALTO DA MOOCA"
SÁB,TRADICIONAL,13,IRMA CAROLINA,"RUA ENG REINALDO CAJADO","BELENZINHO"
SÁB,TRADICIONAL,56,VILA INVERNADA,"RUA DOM PEDRO I","VL INVERNADA"
SÁB,TRADICIONAL,10,CHACARA MARANHAO,"RUA ADELINO DE ALMEIDA CASTILHO","TATUAPE"
SÁB,TRADICIONAL,55,BRAS MODERNA,"RUA TORQUATO ΝΕΤΟ","BRAS"
DOM,TRADICIONAL,65,PENHA,"RUA OMACHA","PENHA"
DOM,TRADICIONAL,45,VILA DALILA,"PC BAUXITA","VL DALILA"
DOM,TRADICIONAL,71,MARIA CARLOTA,"RUA NILZA","VL ESPERANCA"
DOM,TRADICIONAL,98,ARTUR ALVIM,"RUA BENEDITO LEAL","PQ ARTUR ALVIM"
DOM,TRADICIONAL,22,EDIMBURGO,"RUA GOITA","CANGAIBA"
DOM,TRADICIONAL,42,VILA SAO LOURENCO,"PC DO HORTICULTORES","ENG GOULART"
DOM,TRADICIONAL,53,VILA SILVIA,"RUA PASTORIL DE ITAPETINGA","VL SILVIA"
DOM,TRADICIONAL,33,CEZAR DIAS,"RUA CESAR DIAS","ITAQUERA"
DOM,TRADICIONAL,2,GUAIAUNA,"RUA GUAIAUNA","PENHA DE FRANCA"
TER,TRADICIONAL,21,MIRANDINHA,"RUA MIRANDINHA","PENHA"
TER,TRADICIONAL,105,OURO,"RUA MIGUEL GARCIA","VL PAULISTANIA"
TER,TRADICIONAL,39,VILA NOVA GRANADA,"RUA FRANCISCO DE OLIVEIRA BRAGA","VL NOVA GRANADA"
TER,TRADICIONAL,38,VILA GUILHERMINA,"RUA ASSIS VALENTE C GIL RIBEIRO","VL GUILHERMINA"
TER,TRADICIONAL,105,JARDIM TRES MARIAS,"RUA MUNICIPAL","TRES MARIA"
TER,TRADICIONAL,20,VILA TALARICO,"RUA BENTO QUIRINO","VL TALARICO"
TER,TRADICIONAL,47,JARDIM COIMBRA,"RUA PITAGORAS","JD COIMBRA"
TER,TRADICIONAL,43,JARDIM DANFER,"RUA JOSE DA PENHA","JD DANFER"
TER,TRADICIONAL,18,CANGAIBA,"RUA BARTOLOMEU QUADROS","CANGAIBA"
QUA,TRADICIONAL,41,PENHA,"RUA PEDRO ALEGRETTI","PENHA"
QUA,TRADICIONAL,33,MARIA CARLOTA,"RUA MARIA CARLOTA","PENHA"
QUA,TRADICIONAL,68,PELAGIO MARQUEZ,"RUA DURVALINA","VL MATILDE"
QUA,TRADICIONAL,20,ENGENHEIRO TRINDADE,"RUA ENG TRINDADE","PENHA"
QUA,TRADICIONAL,33,PRACA ARTUR ALVIM,"RUA BENEDITO LEAL","ARTUR ALVIM"
QUA,TRADICIONAL,104,PATROCINIO PAULISTA,"RUA IVAN MAIA VASCONCELOS","JD TRIANA"
QUA,TRADICIONAL,17,VILA NHOCUNE,"RUA MADRE LUISA DOS ANJOS","VL NHOCUNE"
QUA,NOTURNA,18,TIQUATIRA,"RUA PAULO MARQUES","VILA VIDAL"
QUA,TRADICIONAL,47,ITAQUERA,"RUA ANDREA FELICIANI","ARTUR ALVIM"
QUI,TRADICIONAL,58,ENGENHEIRO GOULART,"RUA DR AUGUSTO S LOPES","ENG GOULART"
QUI,TRADICIONAL,114,JARDIM NORDESTE,"AV MARAIAL","JD NORDESTE"
QUI,TRADICIONAL,0,PRINCEZA IZABEL,"RUA CAP JOSE LEITE","VL MATILDE"
QUI,TRADICIONAL,68,PADRE JOSE DE ANCHIETA,"RUA SILVIO TORRES","ITAQUERA СОНАВ"
QUI,TRADICIONAL,11,RUI BARBOSA,"AV DA JUSTICA","VL RUI BARBOSA"
SEX,TRADICIONAL,10,NOSSA SENHORA DE FATIMA,"PC MARIA HELENA BONELLI PALMA","VILA RUI BARBOSA"
SEX,TRADICIONAL,54,GUAIAUNA,"RUA EDGARD DE SOUZA","VL ARICANDUVA"
SEX,TRADICIONAL,66,VILA SINANDUVA,"RUA SINANDUVA","VL MARIETA"
SEX,TRADICIONAL,13,VILA GUILHERMINA,"RUA SANTO ALEXANDRE","VL GUILHERMINA"
SEX,TRADICIONAL,97,JARDIM MARINGA,"RUA MENDONCA DRUMONT","JD MARINGA"
SEX,TRADICIONAL,56,VILA RE,"RUA MUNICIPAL","VL RE"
SEX,TRADICIONAL,98,VILA NHOCUNE,"RUA SAO VITORIO","VL NHOCUNE"
SEX,TRADICIONAL,111,VILA CISPER,"RUA JOSE GOMES FARIA","VL CISPER"
SEX,NOTURNA,5,CONJUNTO HABIT VILA SILVIA,"RUA SERRA VERDE","VILA SILVIA"
SEX,TRADICIONAL,1,PRACA DO ROSARIO,"PCA DO ROSARIO","PENHA DE FRANCA"
SEX,TRADICIONAL,2,MORCEGAO,"PCA DILVA GOMES","PENHA"
SEX,TRADICIONAL,12,PRACA DO CERQUILHO,"PC DANILO JOSE FERNANDES","PENHA"
SAB,TRADICIONAL,19,VILA CAREZZI,"RUA GENERAL SOCRATES","PENHA"
SAB,TRADICIONAL,77,VILA SANTΑΝΑ,"RUA ENEAS DE BARROS","VL SANTANA"
SÁB,TRADICIONAL,66,JOSE MASCARENHAS,"AV MELCHERT","VL MATILDE"
SÁB,TRADICIONAL,77,CIDADE PATRIARCA,"RUA CACHOEIRA PAULISTA","CID PATRIARCA"
SÁB,TRADICIONAL,142,CIDADE A E CARVALHO,"RUA TALES DE MILETO","CID A E CARVALHO"
SÁB,TRADICIONAL,183,PADRE MANOEL DA NOBREGA,"RUA PDE FRANCISCO DE TOLEDO","ITAQUERA СОНАВ"
SÁB,TRADICIONAL,38,IMPERIAL,"AV GENTIL BRAGA","VL BUENOS AYRES"
SÁB,TRADICIONAL,46,PRACA SANTA QUITERIA,"RUA JOSE ALOYSIO BRANDAO VILELA","JD NORDESTE"
SÁB,TRADICIONAL,14,JARDIM PIRATININGA,"RUA ADELINA LINHARES","JD PIRATININGA"
SÁB,TRADICIONAL,0,CRUBIXA,"RUA CRUBIXA","VL ARAGUAIA"
DOM,TRADICIONAL,19,VILA OLIMΡΙΑ,"RUA HELION POVOA","VL OLIMPIA"
DOM,TRADICIONAL,48,CIDADE MONCOES,"AV NOVA INDEPENDENCIA","CID MONCOES"
DOM,TRADICIONAL,56,HEITOR PENTEADO,"RUA OSCAR FREIRE","SUMARE"
DOM,TRADICIONAL,35,HADDOCK LOBO,"AL LORENA","JD AMERICA"
DOM,TRADICIONAL,0,PADRE CARVALHO,"RUA PDE CARVALHO","PINHEIROS"
TER,TRADICIONAL,57,BREJO ALEGRE,"RUA INDIANA","STO AMARO"
TER,TRADICIONAL,83,BROOKLIM PAULISTA,"RUA ROQUE PETRELA","BROOKLIM PAULISTA"
TER,TRADICIONAL,88,PINHEIROS,"PC BENEDITO CALIXTO","PINHEIROS"
TER,TRADICIONAL,107,CHACARA ITAIM,"RUA PROF TAMANDARE DE TOLEDO","JD PAULISTA"
QUA,TRADICIONAL,42,JARDIM DAS BANDEIRAS,"RUA LUMINARIAS","JD DAS BANDEIRAS"
QUA,TRADICIONAL,43,EPEIRA,"RUA PDE ARTUR SOMENSI","VL BEATRIZ"
QUA,TRADICIONAL,68,CIDADE MONCOES,"RUA PENSYLVAΝΙΑ","CID MONCOES"
QUA,TRADICIONAL,27,FERNAO CARDIM,"RUA FERNAO CARDIM","CERQUEIRA CESAR"
QUA,ÔRGANICA,9,LARGO DA BATATA,"RUA DR MANOEL CARLOS F DE ALMEIDA","PINHEIROS"
QUA,TRADICIONAL,0,NAPOLEAO MICHEL,"RUA NAPOLEAO MICHEL","ITAIM BIBI"
QUI,TRADICIONAL,201,JARDIM AMERICA,"RUA BARAO DE CAPANEMA","JD AMERICA"
QUI,TRADICIONAL,134,CERQUEIRA CEZAR,"RUA ANTONIO BICUDO","CERQUEIRA CEZAR"
QUI,TRADICIONAL,35,PORTO,"RUA JOAO CACHOEIRA C/ DR F HAIDAR","VL OLIMPIA"
QUI,TRADICIONAL,35,AMARO CAVALHEIRO,"RUA EUGENIO DE MEDEIROS","PINHEIROS"
QUI,TRADICIONAL,32,VILA IDA,"RUA REALENGO","VL IDA"
SEX,TRADICIONAL,176,JARDIM PAULISTA,"RUA CAP PINTO FERREIRA C/ BATATAES","JD PAULISTA"
SEX,TRADICIONAL,53,VILA UBERABINHA,"RUA BALUARTE","VL OLIMPIA"
SEX,TRADICIONAL,49,BROOKLIN PAULISTA,"RUA GODOI COLACO","BROOKLIN PAULISTA"
SEX,TRADICIONAL,27,DARDANELOS,"RUA DARDANELOS","LAPA"
SEX,TRADICIONAL,10,CONCEICAO DE MONTE ALEGRE,"RUA CONCEICAO DE MONTE ALEGRE","CIDADE MONCOES"
SAB,TRADICIONAL,26,IGUATEMI,"RUA SAO MARUM","ITAIM BIBI"
SAB,TRADICIONAL,137,VILA MADALENA,"RUA MOURATO COELHO","VL MADALENA"
DOM,TRADICIONAL,34,VILA BONILHA,"RUA ANTONIO CORREIA","VL BONILHA"
DOM,TRADICIONAL,86,JARDIM SAO JOAO,"RUA PASTORIL DE ALMENARA","PQ PAN AMERICANO"
DOM,TRADICIONAL,21,JARDIM JOSE MARIA,"RUA SALTO DE ITARARE","JD JOSE MARIA"
DOM,TRADICIONAL,4,JARDIM CITY JARAGUA,"RUA SAMUEL BOVY","JARDIM CITY JARAGUA"
DOM,TRADICIONAL,3,GRAND PLAZA,"PA GRAND RESERVA PAULISTA","JD IRIS"
DOM,TRADICIONAL,18,SANTA MONICA,"RUA AMILCAR DE MAGALHAES","PIRITUBA"
TER,TRADICIONAL,70,JARDIM SAO JOSE,"RUA PDE MARIANO RONCHI","JD SAO JOSE"
TER,TRADICIONAL,47,PARQUE SAO DOMINGOS,"RUA RUA BRIG HENRIQUE FONTENELLE","PQ SAO DOMINGUES"
TER,TRADICIONAL,6,PARQUE NACOES UNIDAS,"RUA CIRIACO JIMENEZ","PQ NACOES UNIDAS"
TER,TRADICIONAL,37,VILA AURORA,"RUA ALEIXOS JAFET","VILA AURORA"
QUA,TRADICIONAL,19,PIQUERI,"RUA SALVADOR SALA","PIQUERI"
QUA,TRADICIONAL,32,CHACARA INGLESA,"RUA PEDRO MARIGLIANI","CHAC INGLESA"
QUA,TRADICIONAL,12,JARDIM REGINA,"RUA PDE MARCIGAGLIA","JD REGINA"
QUA,TRADICIONAL,44,JARDIM PANAMERICANO,"RUA ANTONIO SEBASTIAO SOBRINHO","PQ PAN AMERICANO"
QUA,TRADICIONAL,62,JARDIM IPΑΝΕΜΑ,"RUA VASCO BALBOA","JD IPANEMA"
QUA,TRADICIONAL,25,JARDIM CIDADE PIRITUBA,"RUA GONCALVES DE BARROS","JD PIRITUBA"
QUA,TRADICIONAL,129,PIRITUBA,"AV ELISIO CORDEIRO DE SIQUEIRA","JARIDM"
QUA,TRADICIONAL,11,TRAV SAO GABRIEL,"TRA SAO GABRIEL DA CACHOEIRA","JD IRIS"
QUA,TRADICIONAL,15,PRETA,"RUA PRETA","JD IRIS"
QUI,TRADICIONAL,112,JARDIM SAO JOSE,"RUA VIGARIO DE GODOY","VL ZATT"
QUI,TRADICIONAL,27,VILA MANGALOT,"RUA SANDOVAL FERREIRA CABRAL","VL JAGUARA"
QUI,TRADICIONAL,111,ESTRADA DA PARADA,"RUA FRAGATA DA CONSTITUICAO","PARADA DE TAIPAS"
QUI,TRADICIONAL,17,ANHEMBI,"RUA COLONIAL DO IRAI","JD MAGGI"
QUI,TRADICIONAL,15,JARDIM SANTA MONICA,"AV SANTA MONICA","JARDIM SANTA MONIC"
QUI,NOTURNA,1,GRAND RESERVA II,"PC GRAND RESERVA PAULISTA","JARDIM IRIS"
SEX,TRADICIONAL,34,MUTINGA,"RUA MARIA LUCIA DUARTE","VL MUTINGA"
SEX,TRADICIONAL,24,JARAGUA,"AV JERIMANDUBA","VL JARAGUA"
SEX,TRADICIONAL,20,JARDIM RINCAO,"RUA DR CARMELO D'AGOSTINHO","JD RINCAO"
SEX,TRADICIONAL,14,SERRA DO CACHIMBO,"RUA SERRA DO CACHIMBO","JARDIM VITORIA"
SEX,TRADICIONAL,51,PARADA DE TAIPAS,"RUA JOSE PIZZA","PARADA DE TAIPAS"
SEX,TRADICIONAL,13,JARDIM MARISA,"RUA JOSE PEREIRA FALCAO","JARDIM MARISA"
SAB,TRADICIONAL,12,PIRITUBA,"RUA SANTA CRUZ DE LA SIERRA","PIRITUBA"
SAB,TRADICIONAL,60,VILA MIRANTE,"RUA POVOADO DO RIO NOVO","VL MIRANTE"
SÁB,TRADICIONAL,84,JARDIM MONTE ALEGRE,"RUA JURUBIM","PIRITUBA"
SÁB,TRADICIONAL,5,PRACA VISTA ALEGRE,"RUA JOSE ATALIBA ORTIZ","VL MANGALOT"
SÁB,TRADICIONAL,23,JARDIM DA FELICIDADE,"RUA LAUDELINO VIEIRA DE CAMPOS","JD DA FELICIDADE"
SÁB,TRADICIONAL,48,CIDADE D ABRIL,"RUA MAURO ARAUJO RIBEIRO","CID D ABRIL"
SÁB,TRADICIONAL,23,JARDIM MARILU,"RUA MAXIMO BARBOSA","JD MARILU"
SÁB,TRADICIONAL,30,JARDIM N SRA APARECIDA,"RUA LARANJEIRAS DO SUL","PIRITUBA"
SÁB,TRADICIONAL,29,FEIRAO ESPECIAL DE PIRITUBA,"PC MONSENHOR ESCRIVA","JD SAO JOSE"
SÁB,TRADICIONAL,21,INTERATIVA,"RUA INTERATIVA","JARDIM PAULISTANO"
SÁB,TRADICIONAL,7,VILA NOVA ESPERANCA,"RUA CALDAS NOVAS","VILA NOVA ESPERANCA"
SÁB,TRADICIONAL,15,PRETA,"RUA PRETA","JD IRIS"
DOM,TRADICIONAL,38,JARDIM DO RUSSO,"RUA ENG NOGUEIRA SOARES","JD DO RUSSO"
DOM,TRADICIONAL,63,JARDIM BRITANIA,"RUA ALBERTO GENTILE","JD BRITANIA"
DOM,TRADICIONAL,25,VILA FANTON,"RUA FELIPE CARDOSO CAMPOS","VL FANTON"
TER,TRADICIONAL,24,PERUS,"RUA JOAO BATISTIA FANTON","VL FONTON"
QUI,NOTURNA,6,VILA CAIUBA,"RUA IRITUA","VILA CAIUBA"
SEX,TRADICIONAL,107,VILA OPERARIA,"RUA RAPHAEL DI SANDRO","PERUS"
SEX,TRADICIONAL,21,VILA MALVINA,"RUA TIBURNO","VL MALVINA"
SEX,NOTURNA,15,PERUS,"RUA ANTONIO BARTOLOMEU","VL PERUS"
SAB,TRADICIONAL,11,JARDIM JARAGUA,"RUA PRESIDENTE FELIX PAIVA","JD JARAGUA"
SAB,TRADICIONAL,47,RECANTO DOS HUMILDES,"RUA RECANTO DOS HUMILDES","RECANTO DOS HUMILD"
DOM,TRADICIONAL,166,MANDAQUI,"AV ENGENHEIRO CAETANO ALVARES","MANDAQUI"
DOM,TRADICIONAL,26,SANTA TEREZINHA,"RUA VICENTE SOARES","STA TEREZINHA"
DOM,TRADICIONAL,48,TUCURUVI,"RUA CASA FORTE","TUCURUVI"
DOM,TRADICIONAL,22,JARDIM TREMEMBE,"RUA MERE MARIE ANNAIS DO SION","VL NOVA MAZZEI"
DOM,TRADICIONAL,61,VILA GUSTAVO,"RUA CANEDOS","VILA GUSTAVO"
TER,TRADICIONAL,78,AGUA FRIA,"RUA AURELIANO LEAL C GUATIAIA","AGUA FRIA"
TER,TRADICIONAL,33,PARQUE VITORIA,"AV MAESTRO VILA LOBOS","PQ VITORIA"
TER,TRADICIONAL,38,ITAICY,"RUA ITAICY","STA TEREZINHA"
TER,TRADICIONAL,9,MANDAQUI,"RUA GENERAL JOSE ALMEIDA BOTELHO","MANDAQUI"
QUA,TRADICIONAL,61,SANTANA,"RUA GABRIEL PIZZA","SANTANA"
QUA,TRADICIONAL,79,JARDIM SAO BENTO,"RUA CAP MANOEL NOVAES","JD SAO BENTO"
QUA,TRADICIONAL,35,CHORA MEΝΙΝΟ,"RUA DR EUGENIO FORTES COELHO","CHORA MEΝΙΝΟ"
QUA,TRADICIONAL,71,TANQUE VELHO,"RUA TANQUE VELHO","VL GUSTAVO"
QUA,TRADICIONAL,27,CONEGO LADEIRA,"RUA ARAGAO","VL MAZZEI"
QUA,TRADICIONAL,2,SANTA INES,"RUA ANA DE BARROS","STA INES"
QUA,TRADICIONAL,22,CABUCU,"RUA MARIA DO CARMO SENE","VL PAULICEIA"
QUA,TRADICIONAL,27,JOAO PESSOA,"RUA RIBEIRAO DO SALTO","LAUSANE PAULISTA"
QUA,TRADICIONAL,14,PALMAS DO TREMEMBE,"PC ANTONIO JOSE DE ARAUJO","PALMAS DO TREMEMB"
QUI,TRADICIONAL,26,MANOEL SOVERAL,"RUA ANTONIO PEREIRA DE SOUZA","SANTANA"
QUI,TRADICIONAL,34,ALTO DO MANDAQUI,"RUA ALVARO GOMES","SANTANA"
QUI,TRADICIONAL,122,SANTANA,"AV ENGENHEIRO CAETANO ALVARES","SANTANA"
SEX,TRADICIONAL,12,AREAL,"RUA TUPIGUAES","SANTANA"
SEX,TRADICIONAL,21,CHORA MEΝΙΝΟ,"RUA PROF LOURIVAL GOMES MACHADO","VL STA TEREZINHA"
SEX,TRADICIONAL,73,JARDIM SAO PAULO,"RUA PROF JOAQUIM OZORIO DE AZEVE","JD SAO PAULO"
SEX,TRADICIONAL,79,AV SAO PAULO,"AV MAESTRO VILLA LOBOS","TUCURUVI"
SEX,TRADICIONAL,5,VILA AURORA,"RUA ALBERTINA VIEIRA DA S GORDO","VL AURORA"
SAB,TRADICIONAL,102,IMIRIM,"RUA FRANCISCA BIRIBA","IMIRIM"
SAB,TRADICIONAL,41,SANTANA,"RUA PEDRO RIBEIRO","SANTANA"
SÁB,TRADICIONAL,17,VILA CONSTANCIA,"RUA SEBASTIAO DE FREITAS","VL CONSTANCA"
SÁB,TRADICIONAL,97,BORGES,"RUA CRUZ DE MALTA","RODRIGUES ALVES"
SÁB,TRADICIONAL,52,LAUZANE PAULISTA,"RUA DONA MARIA CUSTODIA","LAUZANE PAULISTA"
SÁB,TRADICIONAL,55,SANTO ANΤΟΝΙΟ,"PC SALVADOR TOLEZANO","LAUZANE PAULISTA"
SÁB,TRADICIONAL,31,HERISON,"RUA HERISON","LAUZANE PAULISTA"
DOM,TRADICIONAL,67,CAMPO GRANDE,"RUA ARNALDO MAGNICARO","JD JURUBATUBA"
DOM,TRADICIONAL,20,SANTO AMARO,"AV MARIO LOPES LEAO","STO AMARO"
DOM,TRADICIONAL,34,FEIRAO ECON C DE PORTO ALEGRE,"RUA CONDE DE PORTO ALEGRE","CAMPO BELO"
TER,TRADICIONAL,43,JOAO DIAS,"RUA DO CARREIRO DE PEDRA","VL CRUZEIRO"
TER,TRADICIONAL,25,GIL EANES,"RUA GIL EANES","CAMPO BELO"
QUA,TRADICIONAL,67,CAMPO BELO,"RUA BARAO DE JACEGUAI","STO AMARO"
QUA,TRADICIONAL,53,CHACARA SANTO ANTΟΝΙΟ,"RUA ALEXANDRE DUMAS","CHAC STO ΑΝΤΟΝΙΟ"
QUA,TRADICIONAL,93,PIRAQUARA,"RUA CRISTOVAO PEREIRA","CAMPO BELO"
QUA,TRADICIONAL,44,VILA ISA,"RUA AMOIPIRA","VL ISA"
QUA,TRADICIONAL,13,PRACA FLORIANO PEIΧΟΤΟ,"PCA FLORIANO ΡΕΙΧΟΤΟ","SANTO AMARO"
QUI,TRADICIONAL,64,JARDIM AEROPORTO,"RUA TAPES","JD AEROPORTO"
QUI,TRADICIONAL,32,BROOKLIN PAULISTA,"RUA CONDE DE PORTO ALEGRE","CAMPO BELO"
QUI,TRADICIONAL,15,CONGONHAS,"AV INVERNADA","CONGONHAS"
QUI,TRADICIONAL,39,MONARK,"RUA DA PAZ","CHAC STO ΑΝΤΟΝΙΟ"
QUI,ÔRGANICA,14,SANTO AMARO,"RUA SAO BENEDITO","SANTO AMARO"
SEX,TRADICIONAL,36,DEODORO,"RUA COMEN ELIAS ZARZUR","STO AMARO"
SEX,TRADICIONAL,12,JARDIM CONSORCIO,"RUA JOAO BATISTA DI VITORIANO","JD CONSORCIO"
SEX,TRADICIONAL,8,VILA ARRIETE,"RUA ORLANDO PINTO RIBEIRO","VL ARRIETE"
SEX,TRADICIONAL,39,VILA SAO PEDRO,"PC ALEXANDRE N AKSAKOF","VL SAO PEDRO"
SEX,TRADICIONAL,10,CHACARA FLORA,"RUA FREI CANISIO","VL SOFIA"
SEX,TRADICIONAL,101,SANTO AMARO,"AV PROF ALCEU MAYNARD ARAUJO","VARZEA DE BAIXO"
SAB,TRADICIONAL,85,CONJUNTO ASTOR,"RUA HELADE","VL STA CATARINA"
SAB,TRADICIONAL,9,PARQUE JABAQUARA,"RUA BONIFACIO DE ABREU","PQ JABAQUARA"
SÁB,TRADICIONAL,17,IGUATINGA,"RUA ENG TOMAS WHATELY","STO AMARO"
SÁB,TRADICIONAL,56,PETROPOLIS,"RUA BELA VISTA","VL UNIAO"
SÁB,TRADICIONAL,76,PIRAQUARA,"RUA OTAVIO TARQUINIO DE SOUZA","PIRAQUARA"
SÁB,TRADICIONAL,85,SABARA,"RUA JOAQUIM NEVES MONTEIRO","STO AMARO"
SÁB,TRADICIONAL,16,PRACA FLORIANO PEΙΧΟΤΟ,"PCA FLORIANO ΡΕΙΧΟΤΟ","SANTO AMARO"
DOM,TRADICIONAL,113,JARDIM SAO VICENTE,"AV PROF ASSIS VELOSO","JD SAO VICENTE"
DOM,TRADICIONAL,34,JARDIM HELENA,"RUA CAMOMILA","JD HELENA"
DOM,TRADICIONAL,228,VILA MARA,"RUA SAO GONCALO DO RIO DAS PEDRA","PQ PAULISTANO"
DOM,TRADICIONAL,46,VILA ITAIM,"RUA CACHOEIRA MANGAVAL","ITAIM PAULISTA"
DOM,TRADICIONAL,69,VILA PROGRESSO,"RUA CRIUVA","VL PROGRESSO"
DOM,TRADICIONAL,31,VILA JACUI,"RUA TEJUGUACU","VL JACUI"
DOM,TRADICIONAL,30,VILA NORMA,"RUA GLICERIO RODRIGUES","VL NORMA"
DOM,TRADICIONAL,12,SAO FRANCISCO,"AV JOSE MARTINS LISBOA","SAO FRANCISCO"
TER,TRADICIONAL,116,LIMOEIRO,"AV MANOEL DOS SANTOS BRAGA","LIMOEIRO"
TER,TRADICIONAL,54,JOSE NUNES,"AV PAU D'ARCO ROXO","CID PEDRO JOSE NUNES"
TER,TRADICIONAL,24,PARQUE SONIA,"RUA INAJA GUACU","VL PROGRESSO"
TER,TRADICIONAL,73,JARDIM MΑΙΑ,"RUA FRANCISCO ANTONIO MEIRA","JD MAIA"
TER,TRADICIONAL,22,VILA SILVESTRE,"AV ANTONIO BERNARDO SILVESTRE","VL SAO SILVESTRE"
TER,TRADICIONAL,10,ANGELO LAPENA,"RUA MIGUEL ANGELO LAPΕΝΑ","SAO MIGUEL"
QUA,TRADICIONAL,69,VILA JACUI,"RUA TSUTOMU HENNI","VL JACUI"
QUA,TRADICIONAL,161,VILA HELENA,"RUA SANTA ROSA DE LIMA","PQ PAULISTANO"
QUA,TRADICIONAL,75,CECILIA ITER,"AV MONS AGNELO","VL PROGRESSO"
QUA,TRADICIONAL,71,JARDIM ROMANO,"RUA DIOGO GONCALVES LACO","JD ROMANO"
QUA,NOTURNA,0,SAO GONCALO DO RIO DAS PEDRAS,"RUA SAO GONCALO DO RIO DAS PEDRA","VILA MARA"
QUA,TRADICIONAL,2,DANIEL BERNARDO,"RUA DANIEL BERNARDO","VL AMERICANA"
QUA,NOTURNA,7,PRAA DO FORRO,"PA ALEIXO MONTEIRO MAFRA","SPO MIGUEL"
QUI,TRADICIONAL,113,JARDIM VERA CRUZ,"AV MOACIR DANTAS ITAPICURU","CID NOVA S MIGUEL"
QUI,TRADICIONAL,58,VILA NOEΜΙΑ,"RUA VISTOSA DE MADRE DE DEUS","JD NOEMIA"
QUI,TRADICIONAL,71,JARDIM DAS CAMELIAS,"RUA LIRIO DA SERRA","JD DAS CAMELIAS"
QUI,TRADICIONAL,47,JARDIM SAO MARTINHO,"AV BORBOLETA AMARELA","JD SAO MARTINHO"
SEX,TRADICIONAL,96,BAQUIRIVU,"RUA HELIO VESSONI","VL SINHA"
SEX,TRADICIONAL,59,ITAPOA,"RUA OLEGARIO MACIEL","JD SAO CARLOS"
SEX,TRADICIONAL,26,SAO MIGUEL,"RUA SILVIO CERVELLINI","SAO MIGUEL"
SAB,TRADICIONAL,111,JARDIM SANTANA,"RUA FRUTO DO PARAISO","JD SANTANA"
SAB,TRADICIONAL,55,PARQUE CRUZEIRO DO SUL,"RUA ANTONIO DE SIQUEIRA","PQ CRUZEIRO DO SUL"
SAB,TRADICIONAL,26,CHACARA TRES MENINAS,"AV PEDROSO DA SILVA","CHAC TRES MENINAS"
SAB,TRADICIONAL,10,VILA MONTE SANTO,"RUA QUILOMBO DO AMBROSIO","VL MONTE SANTO"
DOM,TRADICIONAL,135,THOMAZ DE LIMA,"RUA TEIXEIRA LEITE C/ SAO PAULO","LIBERDADE"
DOM,TRADICIONAL,127,VILA DEODORO,"RUA INGLES DE SOUZA","CAMBUCI"
DOM,TRADICIONAL,160,SANTA CECILIA,"RUA SEBASTIAO PEREIRA","STA CECILIA"
DOM,TRADICIONAL,12,PONTE PEQUENA,"RUA GUAPORE","PONTE PEQUENA"
DOM,TRADICIONAL,90,CONSOLACAO,"RUA MAJOR QUEDINHO","CONSOLACAO"
DOM,TRADICIONAL,71,SANTA EFIGENIA,"RUA DOS ANDRADAS C/ TIMBIRAS","STA EFIGEΝΙΑ"
DOM,TRADICIONAL,49,ANHANGABAU,"RUA SANTO AMARO","BELA VISTA"
DOM,TRADICIONAL,0,PAMPLONA,"RUA PAMPLONA","JD PAULISTA"
TER,TRADICIONAL,105,BELA VISTA,"RUA CARDEAL LEME","BELA VISTA"
TER,TRADICIONAL,84,CAMBUCI,"RUA STEFANO","CAMBUCI"
TER,TRADICIONAL,49,SUMARE MODERNA,"PC CHARLES MULLER","PACAEMBU"
TER,TRADICIONAL,16,AMERICO DE CAMPOS,"RUA AMERICO DE CAMPOS","LIBERDADE"
QUA,TRADICIONAL,25,SAO PAULO,"RUA DR PEDRO SEVERIANO","LIBERDADE"
QUA,TRADICIONAL,69,BATURITE,"RUA OLIVEIRA PΕΙΧΟΤΟ","ACLIMACAO"
QUA,TRADICIONAL,43,LIBERDADE/MODERNA,"RUA PANDIA CALOGERAS","LIBERDADE"
QUA,TRADICIONAL,19,FEIRA LIVRE PRACA LIBERDADE,"PC LIBERDADE","LIBERDADE"
QUI,TRADICIONAL,79,ITARARE,"RUA ITARARE","BELA VISTA"
QUI,TRADICIONAL,156,TIRADENTES,"RUA ANTONIO CORUJA","BOM RETIRO"
QUI,TRADICIONAL,118,TEODORETO SOUTO,"RUA TEODORETO SOUTO","CAMBUCI"
QUI,TRADICIONAL,52,SUMARE MODERNA,"PC CHARLES MULLER","PACAEMBU"
QUI,TRADICIONAL,22,ANDRADAS,"RUA DOS ANDRADAS","SANTA EFIGENIA"
QUI,TRADICIONAL,40,PIO XII,"RUA PIO XII","BELA VISTA"
