Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
DOM,TRADICIONAL,45,PARQUE FERNANDA,"ES DE ITAPECERICA","PQ FERNANDA"
DOM,TRADICIONAL,33,JARDIM DAS ROSAS,"RUA SERRA DOS DOIS IRMAOS","JD DAS ROSAS"
DOM,TRADICIONAL,31,JARDIM ROSANA,"RUA CARLOS NAHAS C/ CARLOS LACERD","JD ROSANA"
DOM,TRADICIONAL,20,JARDIM DO COLEGIO,"RUA DR HUMBERTO PASCALE","JD JANGADEIRO"
DOM,TRADICIONAL,11,COHAB ADVENTISTA II,"RUA MODELAR","CAPAO REDONDO"
DOM,TRADICIONAL,13,ANTONIO DA COSTA BARBOSA,"RUA ANTONIO DA COSTA BARBOSA","VILA ANDRADE"
DOM,TRADICIONAL,6,JARDIM SANTO ANTOΝΙΟ,"RUA MANUEL HOMEM DE ANDRADE","JARDIM SANTO ANTON"
DOM,TRADICIONAL,13,CIDADE DE RIO PARDO,"RUA CIDADE DO RIO PARDO","VILA ANDRADE"
TER,TRADICIONAL,40,JARDIM JANGADEIRO,"RUA ROSARIO SCAMARTI","JD JANGADEIRO"
TER,TRADICIONAL,28,JARDIM ROSANA,"RUA CARLOS NAHAS","JD ROSANA"
QUA,TRADICIONAL,106,CAPAO REDONDO,"RUA PAULINO VITAL DE MORAES","CAPAO REDONDO"
QUA,TRADICIONAL,48,VILA PRELL,"RUA THEREZA MΑΙΑ ΡΙΝΤΟ","VL PRELL"
QUA,TRADICIONAL,37,JARDIM MACEDONIA,"RUA AGOSTINHO PAIVA","JD MACEDONIA"
QUA,TRADICIONAL,15,FORTE WILLIAM,"RUA FORTE WILLIAM","VILA ANDRADE"
QUI,TRADICIONAL,74,CAMPO LIMPO,"RUA MARTINHO VAZ DE BARROS","CAMPO LIMPO"
QUI,TRADICIONAL,71,JARDIM CATANDUVA,"RUA DR RENATO BUENO NETO","JD CATANDUVA"
QUI,TRADICIONAL,17,CIDADE DO RIO PARDO,"RUA CIDADE DO RIO PARDO","VILA ANDRADE"
QUI,TRADICIONAL,12,LUISA TODI,"RUA LUISA TODI","JD IRENE"
QUI,TRADICIONAL,8,FREI ANIBAL,"RUA INACIO PRETO DE MORAES","VL ANDRADE"
SEX,TRADICIONAL,83,CAPAO REDONDO,"AV ATHOS THOMAZ FERRACIO","CAPAO REDONDO"
SEX,TRADICIONAL,106,JARDIM UMARIZAL,"AV ANACE","JD UMARIZAL"
SEX,TRADICIONAL,31,JARDIM IPE,"RUA GASTAO RAUL DE FONTON BOSQU","JD IPE"
SEX,TRADICIONAL,10,PARQUE FERNANDA,"AV DR SALVADOR ROCCO","PARQUE FERNANDA"
